S,Season,Pref
1,fall,chocolate
1,winter,chocolate
1,spring,strawberry
1,summer,vanilla
2,fall,chocolate
2,winter,chocolate
2,spring,chocolate
2,summer,vanilla
3,fall,vanilla
3,winter,chocolate
3,spring,strawberry
3,summer,vanilla
4,fall,strawberry
4,winter,chocolate
4,spring,strawberry
4,summer,vanilla
5,fall,chocolate
5,winter,chocolate
5,spring,strawberry
5,summer,strawberry
6,fall,chocolate
6,winter,chocolate
6,spring,strawberry
6,summer,strawberry
7,fall,chocolate
7,winter,chocolate
7,spring,strawberry
7,summer,vanilla
8,fall,chocolate
8,winter,chocolate
8,spring,chocolate
8,summer,vanilla
9,fall,chocolate
9,winter,vanilla
9,spring,strawberry
9,summer,vanilla
10,fall,chocolate
10,winter,strawberry
10,spring,vanilla
10,summer,vanilla
11,fall,chocolate
11,winter,chocolate
11,spring,strawberry
11,summer,vanilla
12,fall,chocolate
12,winter,chocolate
12,spring,strawberry
12,summer,vanilla
13,fall,chocolate
13,winter,chocolate
13,spring,strawberry
13,summer,strawberry
14,fall,chocolate
14,winter,chocolate
14,spring,chocolate
14,summer,vanilla
15,fall,vanilla
15,winter,chocolate
15,spring,strawberry
15,summer,strawberry
16,fall,vanilla
16,winter,chocolate
16,spring,chocolate
16,summer,vanilla
17,fall,strawberry
17,winter,chocolate
17,spring,strawberry
17,summer,vanilla
18,fall,chocolate
18,winter,chocolate
18,spring,strawberry
18,summer,vanilla
19,fall,strawberry
19,winter,chocolate
19,spring,strawberry
19,summer,vanilla
20,fall,strawberry
20,winter,chocolate
20,spring,strawberry
20,summer,strawberry
